央视,#genre#
AXN,mitv://ns2.hellotvvod.com:9906/f144188238d848ee852e997778a4e0f7.ts
BBC Earth,mitv://ns2.hellotvvod.com:9906/24fdbb19e6f94ae3b66628f035859f65.ts
BBC Lifestyle,mitv://ns2.hellotvvod.com:9906/66ede0eebef7486dac54e40e92cbe6d2.ts
BBC World News,mitv://ns2.hellotvvod.com:9906/71b12453ec86473587437099938ab521.ts
Bloomberg TV,mitv://ns2.hellotvvod.com:9906/abfbd1183b4742fe862723542083996d.ts
CatchPlay电影台,mitv://ns2.hellotvvod.com:9906/69c43dbe5f6e4b589b23ae556e7df82b.ts
Cbeebies,mitv://ns2.hellotvvod.com:9906/ab87a2e4a7254aa2a855befb676a090d.ts
CinemaWorld,mitv://ns2.hellotvvod.com:9906/60d52ed4eacf4384909b72902092a693.ts
CINEMAX,mitv://ns2.hellotvvod.com:9906/1e1084991ba848cda69df53575149d91.ts
CLASSICA 古典乐,mitv://ns2.hellotvvod.com:9906/309e9357226847adb912d0d861dcce47.ts
CMusic,mitv://ns2.hellotvvod.com:9906/13f1d23bec5b4d1c8e60d53af62088ca.ts
CNBC,mitv://ns2.hellotvvod.com:9906/ac5a16cacaae4e53b884affaf847dddd.ts
CN卡通频道,mitv://ns2.hellotvvod.com:9906/142e8929b396493a8a3043d66e8321bb.ts
Discovery Asia,mitv://ns2.hellotvvod.com:9906/64825abe302b400b83d994f9c60f2fbf.ts
Discovery科学频道,mitv://ns2.hellotvvod.com:9906/6866e69ee2184ee2bf16526d3b3c6fc6.ts
DMAX,mitv://ns2.hellotvvod.com:9906/69d2fc5722a349a890ee2ef869901fb8.ts
Dreamworks,mitv://ns2.hellotvvod.com:9906/ecb6456f10dc4a37a1e7fe6d06aad2e6.ts
DW,mitv://ns2.hellotvvod.com:9906/84335cf89bfa46f8a5bdeaac2b507d51.ts
ELEVEN体育1台,mitv://ns2.hellotvvod.com:9906/cf45538ec1304a05aa7aec4d45919ecb.ts
ELEVEN体育2台,mitv://ns2.hellotvvod.com:9906/a2a644df86e34f96a0e0cadf6b2158f0.ts
ELTV生活英语台,mitv://ns2.hellotvvod.com:9906/d92e8f91561949548ba22fbc40a49b13.ts
ETtoday综合台,mitv://ns2.hellotvvod.com:9906/e35bb56c45764e4caac18a9eadb69288.ts
EVE,mitv://ns2.hellotvvod.com:9906/8fae26c66ea740678d0ba1f92da99966.ts
EYE TV旅游台,mitv://ns2.hellotvvod.com:9906/43410cc36b214c05886f0b9f616cc1a5.ts
EYE TV戏剧台,mitv://ns2.hellotvvod.com:9906/bdfd7816f48443d489595b93e9b82b0f.ts
FOX,mitv://ns2.hellotvvod.com:9906/525a71642ce0428893c2a44e76ac070e.ts
France24,mitv://ns2.hellotvvod.com:9906/5126c29b8d3b4e54bdca9dcf596f90a0.ts
HBO Family,mitv://ns2.hellotvvod.com:9906/3ec4ba3fd82e4c0ca45a9a2e4110e566.ts
HBO,mitv://ns2.hellotvvod.com:9906/3a4a2848872d475ab92ed0f8a384c3bf.ts
HBO强档巨献,mitv://ns2.hellotvvod.com:9906/eecea45ed5c44969b43b9f6bfe354cbc.ts
HBO原创巨献,mitv://ns2.hellotvvod.com:9906/2813151bff4245a08b9fd78d195599c3.ts
HGTV居家乐活频道,mitv://ns2.hellotvvod.com:9906/75f217b71af944b0873fdda24ffac0c6.ts
HISTORY 2,mitv://ns2.hellotvvod.com:9906/7373df7bdbb54801bde561c0e942fcd2.ts
HITS,mitv://ns2.hellotvvod.com:9906/2a57f28743984a27a4448033273e9395.ts
i-Fun动漫台,mitv://ns2.hellotvvod.com:9906/019560813fa5473abd944d8cb44cc453.ts
KLT-靖天国际台,mitv://ns2.hellotvvod.com:9906/03e7567257a04604b96d52ff9b5634ac.ts
Lifetime,mitv://ns2.hellotvvod.com:9906/512b7514a9944a428659e52b04d1592c.ts
Love Nature,mitv://ns2.hellotvvod.com:9906/3dfbd947eb9448a4a3f4d5dd49f5c056.ts
LUXE TV,mitv://ns2.hellotvvod.com:9906/31a08398ba454aa8a9763149ebfe071a.ts
Mezzo Live,mitv://ns2.hellotvvod.com:9906/580f08dd15b046249cc22bca88113f46.ts
MOMO亲子台,mitv://ns2.hellotvvod.com:9906/5b04e4d291b04ee4916c45d0b4a76dd5.ts
MTV Live,mitv://ns2.hellotvvod.com:9906/8134e7ab46af4924ab202ef7300cb189.ts
MTV,mitv://ns2.hellotvvod.com:9906/96a6443f54704e909ecfb327f6d12c2e.ts
NHK新闻资讯台,mitv://ns2.hellotvvod.com:9906/3ae2c99f871f4a66b7ea67efb7182dfc.ts
Nice TV靖天欢乐台,mitv://ns2.hellotvvod.com:9906/b1a149f3732f4bb3b47aa468dd62e4d5.ts
Nick Jr.,mitv://ns2.hellotvvod.com:9906/34c9fd603cf241d1a71a26ccdd4386ca.ts
OUTDOOR,mitv://ns2.hellotvvod.com:9906/b02050cd4645421ba7927f38acc5c953.ts
ROCK Entertainment,mitv://ns2.hellotvvod.com:9906/58344b94d8344dea842a5792e4558c65.ts
ROCK Extreme,mitv://ns2.hellotvvod.com:9906/363d299b8b73425a8c7bdb74cd0a52d6.ts
Star Movies HD,mitv://ns2.hellotvvod.com:9906/027e7ba9979b418da95577b7d6afa9f9.ts
TLC旅游生活,mitv://ns2.hellotvvod.com:9906/4271f4c1c0624f96800339648fac09de.ts
TRACE Sport Stars,mitv://ns2.hellotvvod.com:9906/449afc84ba654e19a3ca7417ad6cdcf3.ts
Travel Channel,mitv://ns2.hellotvvod.com:9906/fd8ad277fbfe47f5a94f2b3494442d92.ts
TV5MONDE Style 生活时尚,mitv://ns2.hellotvvod.com:9906/5154f3c67fd743b180548143abcae0bb.ts
TV5Monde,mitv://ns2.hellotvvod.com:9906/27ff104f8d524588815cf6cacb52eabe.ts
TVBS,mitv://ns2.hellotvvod.com:9906/3aa89bcd46914e1ead810221e37f52cd.ts
TVBS欢乐台,mitv://ns2.hellotvvod.com:9906/60a5fd500e324b81a485adc24c5b1ac1.ts
TVBS精采台,mitv://ns2.hellotvvod.com:9906/b2e2bb3fd0e744f290a41792c6a469ef.ts
TVBS新闻台,mitv://ns2.hellotvvod.com:9906/0acbe402a64345d09be3002e2e50e045.ts
tvN,mitv://ns2.hellotvvod.com:9906/e5f9079d27e7479dad020afcdee8c633.ts
WARNER TV,mitv://ns2.hellotvvod.com:9906/5f0db1cf663f4e1fa8e5793b771263f0.ts
Z频道,mitv://ns2.hellotvvod.com:9906/e76f1bc6aa05492da5cfd25b584b9b6c.ts
爱尔达体育1台(备),mitv://ns2.hellotvvod.com:9906/a84d26ee2fc346e7878e06ee269d18af.ts
爱尔达体育1台,mitv://ns2.hellotvvod.com:9906/71a3bae56abd414fb30499dd0c6ef844.ts
爱尔达体育2台(备),mitv://ns2.hellotvvod.com:9906/18e34288961f4b95aadd93d0bd64c7de.ts
爱尔达体育2台,mitv://ns2.hellotvvod.com:9906/6d2c46d4068b420ba8ab5e17725c4f41.ts
爱尔达体育3台(备),mitv://ns2.hellotvvod.com:9906/f0460ec92d52459e8326c5fdc1c32919.ts
爱尔达体育3台,mitv://ns2.hellotvvod.com:9906/2d7497b5bb3c4a56b2531cb3a597ebd5.ts
爱尔达影剧台,mitv://ns2.hellotvvod.com:9906/33083f5fe81943f39bfc4c3a9115e4c1.ts
爱尔达综合台,mitv://ns2.hellotvvod.com:9906/4a50de8949e84e6f8106eee5f039d2a7.ts
八大第一台,mitv://ns2.hellotvvod.com:9906/0b7ce5adfc7747ada165477c746f643e.ts
八大戏剧台,mitv://ns2.hellotvvod.com:9906/3412c112154d433380252b6846459e7d.ts
八大优频道,mitv://ns2.hellotvvod.com:9906/de66128da87b4aa8ade269e96f08a736.ts
八大娱乐台,mitv://ns2.hellotvvod.com:9906/0d48b944decc4195aca7dfb650252e32.ts
八大综合台,mitv://ns2.hellotvvod.com:9906/867f11f9fe814ba38e10929c69fd2cdc.ts
博斯高球,mitv://ns2.hellotvvod.com:9906/744195d94170473e82412210a66f2bce.ts
博斯高球二台,mitv://ns2.hellotvvod.com:9906/eb723a6d2d7c442490e0901031d037e8.ts
博斯魅力网,mitv://ns2.hellotvvod.com:9906/87340ca7a5184bd083f2122feee86eb0.ts
博斯网球台,mitv://ns2.hellotvvod.com:9906/b2b2e36c4450479fbdefe1ef6f9d46f0.ts
博斯无限二台,mitv://ns2.hellotvvod.com:9906/bb488cec56ec480eabda9755b3a01c98.ts
博斯无限台,mitv://ns2.hellotvvod.com:9906/b4863af16b1743ae806be8ff998ad9c4.ts
博斯运动,mitv://ns2.hellotvvod.com:9906/ac473f025f04476f88c5afea3631b887.ts
博斯运动二台,mitv://ns2.hellotvvod.com:9906/95ed8752105442b2bbf679d920da3e92.ts
采昌影剧台,mitv://ns2.hellotvvod.com:9906/ea2a161b47dd49c1b9917a61d9d3f131.ts
超视,mitv://ns2.hellotvvod.com:9906/93050b2d7ed0473e8ae35405474bb711.ts
达文西频道,mitv://ns2.hellotvvod.com:9906/70f59959c65647b0ae28979a8203f5ae.ts
大爱(备),mitv://ns2.hellotvvod.com:9906/eac0915f6fa54ef98be5b65e433ae4e0.ts
大爱,mitv://ns2.hellotvvod.com:9906/622667cb4a914504bc3c64f54b02ea6f.ts
大爱2台,mitv://ns2.hellotvvod.com:9906/aaf8554cd1be4f8e81ca4525734e398d.ts
东森财经新闻台,mitv://ns2.hellotvvod.com:9906/9427596f785247d98f20a5383af6525b.ts
东森电影台,mitv://ns2.hellotvvod.com:9906/ce2ea81270ee4a6e89651848ccfae2b6.ts
东森戏剧台,mitv://ns2.hellotvvod.com:9906/f44fcd8844ad47af9ebdb9991084b286.ts
东森新闻台(备),mitv://ns2.hellotvvod.com:9906/80087cedc0354ab3b44397e89456763f.ts
东森新闻台,mitv://ns2.hellotvvod.com:9906/c27d0ffe472645b98548c9ed6c25f4e8.ts
东森洋片台,mitv://ns2.hellotvvod.com:9906/613bb4086874433fbedb17d589ac6d0a.ts
东森幼幼台,mitv://ns2.hellotvvod.com:9906/ef09d99e0b05425ab17c9bcb4a621a0a.ts
东森综合台,mitv://ns2.hellotvvod.com:9906/4c51b619f0294f0ca609f1ae7a1c2bcd.ts
动物星球,mitv://ns2.hellotvvod.com:9906/ca9f3cb1e1c5456694c6017ba741f16e.ts
非凡商业台,mitv://ns2.hellotvvod.com:9906/9e91416638ae4b2ab5073ce52590d012.ts
非凡新闻台,mitv://ns2.hellotvvod.com:9906/0108608989364966b0626fa0bf58091d.ts
佛卫慈悲台,mitv://ns2.hellotvvod.com:9906/c5df6feec5aa46ee83a3b90c24a63f31.ts
高点综合台,mitv://ns2.hellotvvod.com:9906/557e43b99fa44261b9c48ab227d47a9e.ts
公视(备),mitv://ns2.hellotvvod.com:9906/cc2f17933c1a4c11888b0ca0aec52f2c.ts
公视,mitv://ns2.hellotvvod.com:9906/e3848d80451447f5adf5df0498036486.ts
公视3台,mitv://ns2.hellotvvod.com:9906/38f6d4c4416c40429e94f367feb291ea.ts
国会频道1,mitv://ns2.hellotvvod.com:9906/488605bdbc474868bb4edd6011d0813a.ts
国会频道2,mitv://ns2.hellotvvod.com:9906/d3241dadd51343e2a313668ba2bd8dc7.ts
国家地理高画质野生频道,mitv://ns2.hellotvvod.com:9906/3a0959a9260740fa89804972bf386b73.ts
国家地理频道,mitv://ns2.hellotvvod.com:9906/1a43ee61737e402e9f2eb9920d5be0d2.ts
国兴卫视,mitv://ns2.hellotvvod.com:9906/9e2a94dadc174e2d81895e7c06c86718.ts
韩国娱乐台,mitv://ns2.hellotvvod.com:9906/ec977f086971429e92f39ab0037c4856.ts
好莱坞电影台,mitv://ns2.hellotvvod.com:9906/61ba7c9523384c73927e945a1c23ce83.ts
好消息,mitv://ns2.hellotvvod.com:9906/b4fda50c6bc04cdd87248fe93ba6473b.ts
好消息2台,mitv://ns2.hellotvvod.com:9906/b262dadd8eee44f6a281b27b7f50f726.ts
华视(备),mitv://ns2.hellotvvod.com:9906/84e717ef82044c52a4e69f70bdb78013.ts
华视,mitv://ns2.hellotvvod.com:9906/5749b8f031d94c6796de8eaddb74be3c.ts
华视新闻,mitv://ns2.hellotvvod.com:9906/8853a5434eaf429baba38de47f14b6b9.ts
寰宇新闻台,mitv://ns2.hellotvvod.com:9906/b855264ab2ce415e9723072650a87f60.ts
寰宇新闻台湾台,mitv://ns2.hellotvvod.com:9906/c48e9128df224139ae47ee3a3b1a4ca2.ts
靖天电影台,mitv://ns2.hellotvvod.com:9906/5435190c47d342c6a9419d39bbe65ed4.ts
靖天卡通台,mitv://ns2.hellotvvod.com:9906/89cd7dc3842a4b65b2375f759544b268.ts
靖天日本台,mitv://ns2.hellotvvod.com:9906/94d49d6825dd49fdb1726137144e5c34.ts
靖天戏剧台,mitv://ns2.hellotvvod.com:9906/8128de7d62c045699bb57fb5341e1df3.ts
靖天映画,mitv://ns2.hellotvvod.com:9906/ff29a33dbc3649ae9c69eb6107d47279.ts
靖天育乐台,mitv://ns2.hellotvvod.com:9906/192f33fe6e9848e5aa92391ce1a584e2.ts
靖天资讯台,mitv://ns2.hellotvvod.com:9906/548327a23b1041ecada99110b0ae87d1.ts
靖天综合台,mitv://ns2.hellotvvod.com:9906/ff6e1219ef81421aac745251272f12c8.ts
靖洋卡通Nice Bingo,mitv://ns2.hellotvvod.com:9906/2c427d7b3a8f40838112df81d47c9979.ts
靖洋戏剧台,mitv://ns2.hellotvvod.com:9906/4a9367446db74e63a6669929a77d5a38.ts
镜新闻,mitv://ns2.hellotvvod.com:9906/5759cef66f004d87a2402681c42e19ac.ts
客家电视台,mitv://ns2.hellotvvod.com:9906/6cfd0943682c4bdc8187fc0c3926370f.ts
历史频道,mitv://ns2.hellotvvod.com:9906/27381a461f2044108f13855f143b6bfa.ts
龙华电影,mitv://ns2.hellotvvod.com:9906/dfeb19161fc346349edb5a0c960edb34.ts
龙华偶像,mitv://ns2.hellotvvod.com:9906/fbde3c608cb64f48b2fe51018030d452.ts
龙华戏剧,mitv://ns2.hellotvvod.com:9906/b33a69e48e644e6aa67154d47f5c68aa.ts
龙祥电影,mitv://ns2.hellotvvod.com:9906/befd4695fe8c4c0ea2901707ee883ad9.ts
美食星球,mitv://ns2.hellotvvod.com:9906/125e1f507f284617b301d865892db1b4.ts
美亚电影台HD,mitv://ns2.hellotvvod.com:9906/c77ed2e8a3ce41e69c281c3104a72992.ts
民视(备),mitv://ns2.hellotvvod.com:9906/a0796266527e4cc8a6325ff86e2799b1.ts
民视,mitv://ns2.hellotvvod.com:9906/aae502bc979e44c0b3f9cd2f08db259d.ts
民视第一台,mitv://ns2.hellotvvod.com:9906/c8534551009e495b864c6b5f2a8bb074.ts
民视台湾台,mitv://ns2.hellotvvod.com:9906/9b866c8a58774c409073ef137e522070.ts
民视新闻台,mitv://ns2.hellotvvod.com:9906/c09e545038b24e68ae342c65a448bf8a.ts
尼克儿童频道,mitv://ns2.hellotvvod.com:9906/b420548dc5e5476bab28de950cb6b38d.ts
年代新闻,mitv://ns2.hellotvvod.com:9906/03eff74c8812417496a0098796bcb2cd.ts
霹雳台湾台,mitv://ns2.hellotvvod.com:9906/8e9568c9223c4886bc028778b08d64c7.ts
人间卫视,mitv://ns2.hellotvvod.com:9906/3a28a740eb1f4e81ae2f61b0b067f9a7.ts
三立iNEWS,mitv://ns2.hellotvvod.com:9906/9a91a319e0fb4e1eb664e4de0d82d3f5.ts
三立都会台,mitv://ns2.hellotvvod.com:9906/79e7b246bd3a4c47a4d0fabc5f235a40.ts
三立台湾台(备),mitv://ns2.hellotvvod.com:9906/3c657ecc033b4ce891e3f35c5de00742.ts
三立台湾台,mitv://ns2.hellotvvod.com:9906/3cf1ea4d366b4d2985877af248ad77dc.ts
三立戏剧台,mitv://ns2.hellotvvod.com:9906/8e0ebdcca5d5411d8d15752f9f2693e9.ts
三立新闻台,mitv://ns2.hellotvvod.com:9906/adf7ae9ee37042a988ea4f5a3d7c4672.ts
三立综合台,mitv://ns2.hellotvvod.com:9906/7c287d7732eb42d1a3aed3a0a3421356.ts
时尚频道,mitv://ns2.hellotvvod.com:9906/43dd4aa06c2f4155b2b026bf5f90510b.ts
台视(备),mitv://ns2.hellotvvod.com:9906/88fa15667b9f4020bbcdd72cd38e304a.ts
台视,mitv://ns2.hellotvvod.com:9906/b7c15dace4e246fa8e0b25b0f10db057.ts
台视财经台,mitv://ns2.hellotvvod.com:9906/da25bef1126e42eca9f3ff42249c6746.ts
台视新闻台,mitv://ns2.hellotvvod.com:9906/7e0018b3040f418291156fd7b670efaf.ts
探索频道,mitv://ns2.hellotvvod.com:9906/1feae2a139734b66b519846fac34dabc.ts
纬来电影台,mitv://ns2.hellotvvod.com:9906/745426b7051043cea8a2de0ca1fb712a.ts
纬来精采,mitv://ns2.hellotvvod.com:9906/8a4c3909e5c64a0c8bb9dd87f6b3be47.ts
纬来日本,mitv://ns2.hellotvvod.com:9906/7ff0fedcde9a4158a6b8ac51f95cebca.ts
纬来体育台,mitv://ns2.hellotvvod.com:9906/ef54dd7b19aa488b89cec3e826eeaf36.ts
纬来戏剧台,mitv://ns2.hellotvvod.com:9906/5fecfcbda10a4b22b17bdeec8cafdaf4.ts
纬来育乐台,mitv://ns2.hellotvvod.com:9906/d904657a5c2a4f72a5d6c4d5f541381b.ts
纬来综合台,mitv://ns2.hellotvvod.com:9906/ae70fd7e9d8042f589c24b50f07ba6d8.ts
卫视电影台,mitv://ns2.hellotvvod.com:9906/93ef06867a4046adb64caa364dbbd594.ts
卫视中文台,mitv://ns2.hellotvvod.com:9906/ad2ac743e2094fb2893f9eb354fbe4d3.ts
星卫HD电影台,mitv://ns2.hellotvvod.com:9906/885e1098abfe48b7a1534dd3e25d6a53.ts
星卫娱乐台,mitv://ns2.hellotvvod.com:9906/e5b2214168354c9fb2fe9f59f555fc2d.ts
亚洲旅游台,mitv://ns2.hellotvvod.com:9906/282c1f1000ff4213b127ba035e4458a3.ts
亚洲美食频道,mitv://ns2.hellotvvod.com:9906/de0aca36a0b84910b99c34af284c2982.ts
壹电视电影台,mitv://ns2.hellotvvod.com:9906/3aa125e8e3eb4a97ba424991bd156e66.ts
壹电视新闻台,mitv://ns2.hellotvvod.com:9906/7e091989e1d44a3384ec773df963d88b.ts
壹电视综合,mitv://ns2.hellotvvod.com:9906/f04959bb65b54496bb02a093c8b0f4f8.ts
影迷数位电影台,mitv://ns2.hellotvvod.com:9906/35974441e26743cdb97d57736988b032.ts
原住民电视台,mitv://ns2.hellotvvod.com:9906/ddc3d167c5b049c88a70b43707b84ce6.ts
智林体育台,mitv://ns2.hellotvvod.com:9906/e3b97400caed418695413716925c56d2.ts
中视(备),mitv://ns2.hellotvvod.com:9906/c19c12d1dad24a5bae363988a8465769.ts
中视,mitv://ns2.hellotvvod.com:9906/a75d26a4db7b4fedb2902bf6b9574086.ts
中视经典台,mitv://ns2.hellotvvod.com:9906/3523abab30084b9b83a15ef0e04cdabf.ts
中视菁采台,mitv://ns2.hellotvvod.com:9906/a218f9ed07ac44d5a71762577502de90.ts
